Item Name,SNo,Parameters,Type,SubDistrict-_Solapur-Total [(A+B) or (C+D)],SubDistrict-_Solapur-Public [A],SubDistrict-_Solapur-Private [B],SubDistrict-_Solapur-Urban [C],SubDistrict-_Solapur-Rural [D],SubDistrict-Akkalkot-Total [(A+B) or (C+D)],SubDistrict-Akkalkot-Public [A],SubDistrict-Akkalkot-Private [B],SubDistrict-Akkalkot-Urban [C],SubDistrict-Akkalkot-Rural [D],SubDistrict-Barshi-Total [(A+B) or (C+D)],SubDistrict-Barshi-Public [A],SubDistrict-Barshi-Private [B],SubDistrict-Barshi-Urban [C],SubDistrict-Barshi-Rural [D],SubDistrict-Karmala-Total [(A+B) or (C+D)],SubDistrict-Karmala-Public [A],SubDistrict-Karmala-Private [B],SubDistrict-Karmala-Urban [C],SubDistrict-Karmala-Rural [D],SubDistrict-Madha-Total [(A+B) or (C+D)],SubDistrict-Madha-Public [A],SubDistrict-Madha-Private [B],SubDistrict-Madha-Urban [C],SubDistrict-Madha-Rural [D],SubDistrict-Malshiras-Total [(A+B) or (C+D)],SubDistrict-Malshiras-Public [A],SubDistrict-Malshiras-Private [B],SubDistrict-Malshiras-Urban [C],SubDistrict-Malshiras-Rural [D],SubDistrict-Mangalvedhe-Total [(A+B) or (C+D)],SubDistrict-Mangalvedhe-Public [A],SubDistrict-Mangalvedhe-Private [B],SubDistrict-Mangalvedhe-Urban [C],SubDistrict-Mangalvedhe-Rural [D],SubDistrict-Mohol-Total [(A+B) or (C+D)],SubDistrict-Mohol-Public [A],SubDistrict-Mohol-Private [B],SubDistrict-Mohol-Urban [C],SubDistrict-Mohol-Rural [D],SubDistrict-Pandharpur-Total [(A+B) or (C+D)],SubDistrict-Pandharpur-Public [A],SubDistrict-Pandharpur-Private [B],SubDistrict-Pandharpur-Urban [C],SubDistrict-Pandharpur-Rural [D],SubDistrict-Sangole-Total [(A+B) or (C+D)],SubDistrict-Sangole-Public [A],SubDistrict-Sangole-Private [B],SubDistrict-Sangole-Urban [C],SubDistrict-Sangole-Rural [D],SubDistrict-Solapur North-Total [(A+B) or (C+D)],SubDistrict-Solapur North-Public [A],SubDistrict-Solapur North-Private [B],SubDistrict-Solapur North-Urban [C],SubDistrict-Solapur North-Rural [D],SubDistrict-Solapur South-Total [(A+B) or (C+D)],SubDistrict-Solapur South-Public [A],SubDistrict-Solapur South-Private [B],SubDistrict-Solapur South-Urban [C],SubDistrict-Solapur South-Rural [D],SubDistrict-Solapur Urban-Total [(A+B) or (C+D)],SubDistrict-Solapur Urban-Public [A],SubDistrict-Solapur Urban-Private [B],SubDistrict-Solapur Urban-Urban [C],SubDistrict-Solapur Urban-Rural [D],Month_File,District,Source_File
M14 [Patient Services],14.4.8,Inpatient - Hepatitis,TOTAL,18,18,,5,13,0,0,,0,0,0,0,,0,0,1,1,,1,0,0,0,,0,0,0,0,,,0,0,0,,0,0,1,1,,,1,0,0,,0,0,4,4,,4,0,12,12,,,12,0,0,,,0,0,0,,0,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M14 [Patient Services],14.5,Patients registered at Emergency Department,TOTAL,3701,3701,,865,2836,0,0,,0,,0,0,,0,0,115,115,,115,,505,505,,186,319,1361,1361,,,1361,0,0,,0,,764,764,,,764,0,0,,0,0,564,564,,564,,303,303,,,303,89,89,,,89,0,0,,0,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M14 [Patient Services],14.6.1,"Emergency - Trauma ( accident, injury, poisoning etc)",TOTAL,1382,1382,,145,1237,64,64,,64,,21,21,,18,3,26,26,,26,,50,50,,25,25,192,192,,,192,0,0,,0,,258,258,,,258,0,0,,0,0,12,12,,12,,758,758,,,758,1,1,,,1,0,0,,0,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M14 [Patient Services],14.6.2,Emergency - Burn,TOTAL,164,164,,18,146,3,3,,3,,0,0,,0,0,10,10,,10,,3,3,,2,1,27,27,,,27,0,0,,0,,11,11,,,11,0,0,,0,0,3,3,,3,,107,107,,,107,0,0,,,0,0,0,,0,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M14 [Patient Services],14.6.3,Emergency - Obstetrics complications,TOTAL,709,709,,485,224,346,346,,346,,11,11,,11,0,75,75,,75,,48,48,,47,1,136,136,,,136,0,0,,0,,72,72,,,72,0,0,,0,0,6,6,,6,,15,15,,,15,0,0,,,0,0,0,,0,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M14 [Patient Services],14.6.4,Emergency - Snake Bite,TOTAL,379,379,,255,124,32,32,,32,,33,33,,33,0,121,121,,121,,31,31,,19,12,47,47,,,47,0,0,,0,,52,52,,,52,6,6,,0,6,50,50,,50,,6,6,,,6,1,1,,,1,0,0,,0,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M14 [Patient Services],14.6.5,Emergency - Acute Caridiac Emergencies,TOTAL,54,54,,18,36,13,13,,13,,0,0,,0,0,0,0,,0,,5,5,,5,0,10,10,,,10,0,0,,0,,25,25,,,25,0,0,,0,0,0,0,,0,,0,0,,,0,1,1,,,1,0,0,,0,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M14 [Patient Services],14.6.7,Emergency - CVA ( Cerebovascular Disease),TOTAL,10,10,,7,3,7,7,,7,,0,0,,0,0,0,0,,0,,0,0,,0,0,0,0,,,0,0,0,,0,,3,3,,,3,0,0,,0,0,0,0,,0,,0,0,,,0,0,0,,,0,0,0,,0,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M14 [Patient Services],14.7,Number of deaths occurring at Emergency Department,TOTAL,4,4,,1,3,0,0,,0,,0,0,,0,0,0,0,,0,,4,4,,1,3,0,0,,,0,0,0,,0,,0,0,,,0,0,0,,0,0,0,0,,0,,0,0,,,0,0,0,,,0,0,0,,0,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M14 [Patient Services],14.8.1,Operation major (General and spinal anaesthesia),TOTAL,6358,6358,,2867,3491,25,25,,25,0,681,681,,640,41,141,141,,141,0,65,65,,52,13,125,125,,,125,35,35,,35,0,249,249,,,249,1131,1131,,845,286,1036,1036,,1036,0,2677,2677,,,2677,100,100,,,100,93,93,,93,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M14 [Patient Services],14.8.2,"Out of Operation major, Gynecology- Hysterectomy surgeries",TOTAL,130,130,,5,125,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,125,125,,,125,0,0,,,0,5,5,,5,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M14 [Patient Services],14.8.3,"Major Surgeries excluding Obstetrics, Gynaecology and Opthalmology etc.",TOTAL,1390,1390,,,1390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390,1390,,,1390,,,,,,,,,,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M14 [Patient Services],14.8.4,Operation minor (No or local anaesthesia),TOTAL,8009,8009,,2211,5798,342,342,,342,0,89,89,,40,49,399,399,,366,33,191,191,,113,78,823,823,,,823,43,43,,43,0,611,611,,,611,981,981,,913,68,274,274,,102,172,3526,3526,,,3526,438,438,,,438,292,292,,292,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M14 [Patient Services],14.8.5,Number of post operative Surgical Site infection,TOTAL,128,128,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,128,,,128,,,,,,,,,,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M14 [Patient Services],14.8.6,Number of blood units issued,TOTAL,958,958,,5,953,0,0,,0,0,2,2,,2,0,0,0,,0,0,0,0,,0,0,187,187,,,187,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,766,766,,,766,0,0,,,0,3,3,,3,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M14 [Patient Services],14.8.7,Number of blood transfusions done,TOTAL,91,91,,4,87,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,85,85,,,85,0,0,,0,0,0,0,,,0,2,2,,0,2,0,0,,0,0,0,0,,,0,0,0,,,0,4,4,,4,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M14 [Patient Services],14.9.1,Inpatient Deaths - Male,TOTAL,606,606,,1,605,0,0,,0,0,1,1,,1,0,0,0,,0,0,1,1,,0,1,2,2,,,2,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,602,602,,,602,0,0,,,0,0,0,,0,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M14 [Patient Services],14.9.2,Inpatient Deaths - Female,TOTAL,368,368,,1,367,0,0,,0,0,1,1,,1,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,367,367,,,367,0,0,,,0,0,0,,0,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M14 [Patient Services],14.1,In-Patient Head Count at midnight,TOTAL,67688,67688,,38223,29465,6845,6845,,6845,0,8876,8876,,5997,2879,4306,4306,,4303,3,5318,5318,,1936,3382,10513,10513,,,10513,1376,1376,,1322,54,6568,6568,,,6568,16466,16466,,14614,1852,3206,3206,,3206,0,1974,1974,,,1974,2240,2240,,,2240,0,0,,0,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M14 [Patient Services],14.11,Number of Admission in NBSU ( New Born Stabilisation Unit),TOTAL,781,781,,605,176,450,450,,450,0,12,12,,12,0,25,25,,21,4,0,0,,0,0,84,84,,,84,3,3,,3,0,18,18,,,18,0,0,,0,0,119,119,,119,0,0,0,,,0,70,70,,,70,0,0,,0,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M14 [Patient Services],14.12.1,Special Newborn Care Unit (SNCU Admissions) - Inborn Male,TOTAL,519,519,,204,315,0,0,,0,,0,0,,0,0,0,0,,0,,0,0,,0,0,0,0,,,0,0,0,,0,,0,0,,,0,204,204,,204,0,0,0,,0,,315,315,,,315,0,0,,,0,0,0,,0,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M14 [Patient Services],14.12.2,Special Newborn Care Unit (SNCU Admissions) - Inborn Female,TOTAL,469,469,,175,294,0,0,,0,,0,0,,0,0,0,0,,0,,0,0,,0,0,0,0,,,0,0,0,,0,,0,0,,,0,175,175,,175,0,0,0,,0,,294,294,,,294,0,0,,,0,0,0,,0,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M14 [Patient Services],14.12.3,Outborn  Male,TOTAL,300,300,,30,270,0,0,,0,,0,0,,0,0,0,0,,0,,0,0,,0,0,0,0,,,0,0,0,,0,,0,0,,,0,30,30,,30,0,0,0,,0,,270,270,,,270,0,0,,,0,0,0,,0,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M14 [Patient Services],14.12.4,Outborn - Female,TOTAL,273,273,,26,247,0,0,,0,,0,0,,0,0,0,0,,0,,0,0,,0,0,0,0,,,0,0,0,,0,,0,0,,,0,26,26,,26,0,0,0,,0,,247,247,,,247,0,0,,,0,0,0,,0,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M14 [Patient Services],14.12.5,Number of newborns admitted in SNCU - referred by ASHA,TOTAL,0,0,,0,0,0,0,,0,,0,0,,0,0,0,0,,0,,0,0,,0,0,0,0,,,0,0,0,,0,,0,0,,,0,0,0,,0,0,0,0,,0,,0,0,,,0,0,0,,,0,0,0,,0,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M14 [Patient Services],14.13,Number of deaths occurring at SNCU,TOTAL,210,210,,2,208,0,0,,0,,0,0,,0,0,0,0,,0,,0,0,,0,0,0,0,,,0,0,0,,0,,0,0,,,0,2,2,,2,0,0,0,,0,,208,208,,,208,0,0,,,0,0,0,,0,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M14 [Patient Services],14.14.1,Number of children admitted in NRC,TOTAL,63,63,,63,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,63,63,,63,0,0,0,,0,0,0,0,,,0,0,0,,,0,0,0,,0,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M14 [Patient Services],14.14.2,Number of children discharged with target weight gain from the NRCs,TOTAL,43,43,,43,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,43,43,,43,0,0,0,,0,0,0,0,,,0,0,0,,,0,0,0,,0,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M14 [Patient Services],14.15,Number of Rogi Kalyan Samiti (RKS) meetings held,TOTAL,37,37,,6,31,2,2,,0,2,2,2,,1,1,3,3,,3,0,0,0,,0,0,2,2,,,2,3,3,,1,2,4,4,,,4,6,6,,1,5,0,0,,0,0,3,3,,,3,12,12,,,12,0,0,,0,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M14 [Patient Services],14.16,Number of Anganwadi centres/ UPHCs reported to have conducted Village Health & Nutrition Day (VHNDs)/ Urban Health & Nutrition Day (UHNDs)/ Outreach / Special Outreach,TOTAL,10662,10662,,77,10585,225,225,,,225,878,878,,,878,1661,1661,,,1661,662,662,,,662,1575,1575,,,1575,752,752,,,752,1024,1024,,,1024,1901,1901,,,1901,1467,1467,,,1467,160,160,,,160,280,280,,,280,77,77,,77,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M14 [Patient Services],14.17,Stock out rate of essential Drugs,TOTAL,12,12,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,,,12,,,,,,,,,,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M14 [Patient Services],14.18,Blood Units Issued on replacement (Family Donors to be considered as replacement donations),TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M14 [Patient Services],14.19,Total number of blood units issued in year,TOTAL,2291,2291,,,2291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2291,2291,,,2291,,,,,,,,,,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M14 [Patient Services],14.2,Patient Satisfaction Score of the facility in percentage (from Mera Aspatal),TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M15 [Laboratory Testing],15.1,Number of Lab Tests done,TOTAL,680445,680445,,157847,522598,12636,12636,,12042,594,29109,29109,,20119,8990,21444,21444,,20056,1388,23551,23551,,12771,10780,66067,66067,,,66067,18950,18950,,14839,4111,15891,15891,,,15891,71853,71853,,57853,14000,10707,10707,,8491,2216,388472,388472,,570,387902,10659,10659,,,10659,11106,11106,,11106,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M15 [Laboratory Testing],15.2.1,Number of Hb tests conducted,TOTAL,138634,138634,,35431,103203,7715,7715,,2006,5709,8030,8030,,3977,4053,6847,6847,,4127,2720,9137,9137,,2190,6947,19895,19895,,,19895,4596,4596,,2030,2566,6577,6577,,,6577,16734,16734,,8723,8011,5176,5176,,1367,3809,35703,35703,,196,35507,7409,7409,,,7409,10815,10815,,10815,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M15 [Laboratory Testing],15.2.2,"Out of the total number of Hb tests done, Number having Hb < 7 mg",TOTAL,6045,6045,,1369,4676,317,317,,16,301,71,71,,32,39,132,132,,23,109,115,115,,18,97,296,296,,,296,786,786,,691,95,221,221,,,221,357,357,,144,213,51,51,,0,51,3073,3073,,2,3071,183,183,,,183,443,443,,443,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M15 [Laboratory Testing],15.3.1.a,Male HIV - Number Tested,TOTAL,24170,24170,,11864,12306,2234,2234,,1996,238,2539,2539,,758,1781,1302,1302,,1191,111,2161,2161,,968,1193,2594,2594,,,2594,1369,1369,,1338,31,486,486,,,486,3420,3420,,3320,100,1869,1869,,1594,275,4041,4041,,,4041,1456,1456,,,1456,699,699,,699,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M15 [Laboratory Testing],15.3.1.b,Male HIV - Number Positive,TOTAL,488,488,,206,282,44,44,,12,32,44,44,,33,11,82,82,,15,67,14,14,,10,4,35,35,,,35,20,20,,10,10,3,3,,,3,113,113,,113,0,13,13,,13,0,116,116,,,116,4,4,,,4,0,0,,0,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M15 [Laboratory Testing],15.3.2.a,Female Non ANC HIV - Number Tested,TOTAL,23591,23591,,10193,13398,1978,1978,,1240,738,2133,2133,,1094,1039,1295,1295,,747,548,2307,2307,,930,1377,3636,3636,,,3636,1614,1614,,1352,262,620,620,,,620,2868,2868,,2404,464,2126,2126,,1568,558,2233,2233,,,2233,1923,1923,,,1923,858,858,,858,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M15 [Laboratory Testing],15.3.2.b,Female Non ANC HIV - Number Positive,TOTAL,706,706,,217,489,24,24,,13,11,47,47,,38,9,15,15,,14,1,14,14,,12,2,91,91,,,91,11,11,,10,1,5,5,,,5,82,82,,82,0,45,45,,21,24,83,83,,,83,262,262,,,262,27,27,,27,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M15 [Laboratory Testing],15.3.3.a,Number of pregnant women screened for HIV,TOTAL,43660,43660,,9734,33926,3583,3583,,860,2723,4162,4162,,1492,2670,2346,2346,,901,1445,4554,4554,,455,4099,5770,5770,,,5770,1767,1767,,192,1575,2786,2786,,,2786,4002,4002,,957,3045,2260,2260,,167,2093,4757,4757,,,4757,2963,2963,,,2963,4710,4710,,4710,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M15 [Laboratory Testing],15.3.3.b,"Out of the above, number screened positive",TOTAL,211,211,,14,197,21,21,,0,21,7,7,,1,6,7,7,,3,4,2,2,,2,0,40,40,,,40,25,25,,2,23,22,22,,,22,18,18,,2,16,25,25,,3,22,14,14,,,14,29,29,,,29,1,1,,1,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M15 [Laboratory Testing],15.3.3.c,"Out of the above number screened positive, number confirmed with HIV infection at Integrated Counselling and Testing Centre (ICTC)",TOTAL,42,42,,13,29,8,8,,8,0,0,0,,0,0,4,4,,4,0,1,1,,1,0,4,4,,,4,0,0,,0,0,5,5,,,5,7,7,,0,7,0,0,,0,0,13,13,,,13,0,0,,,0,0,0,,0,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M15 [Laboratory Testing],15.3.4.a,Number of Male STI/RTI attendees tested for syphilis,TOTAL,96,96,,19,77,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,8,8,,,8,6,6,,0,6,3,3,,,3,0,0,,0,0,13,13,,13,0,60,60,,,60,0,0,,,0,6,6,,6,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M15 [Laboratory Testing],15.3.4.b,Number of Male STI/RTI attendees found sero Positive for syphilis,TOTAL,13,13,,11,2,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,5,5,,5,0,2,2,,,2,0,0,,,0,6,6,,6,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M15 [Laboratory Testing],15.3.4.c,Number of Female (Non ANC)STI/RTI attendees tested for syphilis,TOTAL,795,795,,63,732,0,0,,0,0,0,0,,0,0,1,1,,1,0,0,0,,0,0,300,300,,,300,38,38,,38,0,53,53,,,53,0,0,,0,0,18,18,,18,0,292,292,,,292,87,87,,,87,6,6,,6,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M15 [Laboratory Testing],15.3.4.d,Number of Female (Non ANC) STI/RTI attendees found sero Positive for syphilis,TOTAL,17,17,,16,1,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,1,1,,,1,2,2,,2,0,0,0,,,0,0,0,,0,0,8,8,,8,0,0,0,,,0,0,0,,,0,6,6,,6,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M15 [Laboratory Testing],15.4.1,Widal tests - Number Tested,TOTAL,6060,6060,,3202,2858,210,210,,210,0,1073,1073,,878,195,274,274,,274,0,229,229,,172,57,552,552,,,552,304,304,,289,15,90,90,,,90,932,932,,785,147,1388,1388,,512,876,679,679,,,679,247,247,,,247,82,82,,82,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M15 [Laboratory Testing],15.4.2,Widal tests - Number Positive,TOTAL,557,557,,458,99,103,103,,103,0,165,165,,159,6,21,21,,21,0,21,21,,21,0,2,2,,,2,58,58,,56,2,0,0,,,0,0,0,,0,0,92,92,,92,0,41,41,,,41,48,48,,,48,6,6,,6,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M15 [Laboratory Testing],15.5.1,Radiology - X-ray,TOTAL,27400,27400,,6725,20675,500,500,,500,,1122,1122,,1122,0,0,0,,0,,0,0,,0,0,2620,2620,,,2620,1371,1371,,1371,,60,60,,,60,3611,3611,,3611,0,121,121,,121,,17751,17751,,,17751,244,244,,,244,0,0,,0,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M15 [Laboratory Testing],15.5.2,Radiology - Ultrasonography (USG),TOTAL,8278,8278,,101,8177,,,,,,,,,,,0,0,,0,,,,,,,0,0,,,0,,,,,,,,,,,101,101,,101,,,,,,,8177,8177,,,8177,,,,,,,,,,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M16 [Details of deaths reported with probable causes:],16.1,Infant deaths within 24 hrs(1 to 23 Hrs) of birth,TOTAL,101,101,,0,101,19,19,,0,19,2,2,,0,2,3,3,,0,3,0,0,,0,0,7,7,,,7,1,1,,0,1,2,2,,,2,1,1,,0,1,3,3,,0,3,54,54,,,54,9,9,,,9,0,0,,0,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M16 [Details of deaths reported with probable causes:],16.2.1,Infant Deaths up to 4 weeks due to Sepsis,TOTAL,49,49,,11,38,4,4,,0,4,1,1,,0,1,1,1,,0,1,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,1,1,,1,0,0,0,,0,0,32,32,,,32,0,0,,,0,10,10,,10,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M16 [Details of deaths reported with probable causes:],16.2.2,Infant Deaths up to 4 weeks due to Asphyxia,TOTAL,101,101,,12,89,4,4,,0,4,2,2,,0,2,0,0,,0,0,1,1,,1,0,3,3,,,3,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,79,79,,,79,1,1,,,1,11,11,,11,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M16 [Details of deaths reported with probable causes:],16.2.3,Infant Deaths up to 4 weeks due to Other causes,TOTAL,329,329,,155,174,8,8,,0,8,12,12,,0,12,9,9,,0,9,0,0,,0,0,21,21,,,21,1,1,,0,1,9,9,,,9,6,6,,0,6,1,1,,0,1,101,101,,,101,6,6,,,6,155,155,,155,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M16 [Details of deaths reported with probable causes:],16.3.1,Number of Infant Deaths (1 -12 months) due to Pneumonia,TOTAL,16,16,,0,16,0,0,,0,0,0,0,,0,0,1,1,,0,1,0,0,,0,0,3,3,,,3,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,11,11,,,11,1,1,,,1,0,0,,0,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M16 [Details of deaths reported with probable causes:],16.3.2,Number of Infant Deaths (1 -12 months) due to Diarrhoea,TOTAL,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,,0,0,0,,0,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M16 [Details of deaths reported with probable causes:],16.3.3,Number of Infant Deaths (1 -12 months) due to Fever related,TOTAL,25,25,,0,25,0,0,,0,0,0,0,,0,0,0,0,,0,0,1,1,,0,1,0,0,,,0,0,0,,0,0,0,0,,,0,4,4,,0,4,0,0,,0,0,20,20,,,20,0,0,,,0,0,0,,0,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M16 [Details of deaths reported with probable causes:],16.3.4,Number of Infant Deaths (1 -12 months) due to Measles,TOTAL,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,,0,0,0,,0,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M16 [Details of deaths reported with probable causes:],16.3.5,Number of Infant Deaths (1 -12 months) due to Others,TOTAL,81,81,,0,81,9,9,,0,9,3,3,,0,3,5,5,,0,5,1,1,,0,1,12,12,,,12,3,3,,0,3,9,9,,,9,6,6,,0,6,6,6,,0,6,23,23,,,23,4,4,,,4,0,0,,0,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M16 [Details of deaths reported with probable causes:],16.4.1,Number of Child Deaths (1 -5 years) due to Pneumonia,TOTAL,12,12,,0,12,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,1,1,,0,1,0,0,,0,0,11,11,,,11,0,0,,,0,0,0,,0,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M16 [Details of deaths reported with probable causes:],16.4.2,Number of Child Deaths (1 -5 years) due to Diarrhoea,TOTAL,2,2,,0,2,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,2,2,,,2,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,,0,0,0,,0,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
M16 [Details of deaths reported with probable causes:],16.4.3,Number of Child Deaths (1 -5 years) due to Fever related,TOTAL,23,23,,0,23,3,3,,0,3,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,1,1,,,1,1,1,,0,1,0,0,,0,0,18,18,,,18,0,0,,,0,0,0,,0,,Dec,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Dec.csv
