Indicator,S.No.,Parameters,Type,SubDistrict-_Solapur-Total [(A+B) or (C+D)],SubDistrict-_Solapur-Public [A],SubDistrict-_Solapur-Private [B],SubDistrict-_Solapur-Urban [C],SubDistrict-_Solapur-Rural [D],SubDistrict-Akkalkot-Total [(A+B) or (C+D)],SubDistrict-Akkalkot-Public [A],SubDistrict-Akkalkot-Private [B],SubDistrict-Akkalkot-Urban [C],SubDistrict-Akkalkot-Rural [D],SubDistrict-Barshi-Total [(A+B) or (C+D)],SubDistrict-Barshi-Public [A],SubDistrict-Barshi-Private [B],SubDistrict-Barshi-Urban [C],SubDistrict-Barshi-Rural [D],SubDistrict-Karmala-Total [(A+B) or (C+D)],SubDistrict-Karmala-Public [A],SubDistrict-Karmala-Private [B],SubDistrict-Karmala-Urban [C],SubDistrict-Karmala-Rural [D],SubDistrict-Madha-Total [(A+B) or (C+D)],SubDistrict-Madha-Public [A],SubDistrict-Madha-Private [B],SubDistrict-Madha-Urban [C],SubDistrict-Madha-Rural [D],SubDistrict-Malshiras-Total [(A+B) or (C+D)],SubDistrict-Malshiras-Public [A],SubDistrict-Malshiras-Private [B],SubDistrict-Malshiras-Urban [C],SubDistrict-Malshiras-Rural [D],SubDistrict-Mangalvedhe-Total [(A+B) or (C+D)],SubDistrict-Mangalvedhe-Public [A],SubDistrict-Mangalvedhe-Private [B],SubDistrict-Mangalvedhe-Urban [C],SubDistrict-Mangalvedhe-Rural [D],SubDistrict-Mohol-Total [(A+B) or (C+D)],SubDistrict-Mohol-Public [A],SubDistrict-Mohol-Private [B],SubDistrict-Mohol-Urban [C],SubDistrict-Mohol-Rural [D],SubDistrict-Pandharpur-Total [(A+B) or (C+D)],SubDistrict-Pandharpur-Public [A],SubDistrict-Pandharpur-Private [B],SubDistrict-Pandharpur-Urban [C],SubDistrict-Pandharpur-Rural [D],SubDistrict-Sangole-Total [(A+B) or (C+D)],SubDistrict-Sangole-Public [A],SubDistrict-Sangole-Private [B],SubDistrict-Sangole-Urban [C],SubDistrict-Sangole-Rural [D],SubDistrict-Solapur North-Total [(A+B) or (C+D)],SubDistrict-Solapur North-Public [A],SubDistrict-Solapur North-Private [B],SubDistrict-Solapur North-Urban [C],SubDistrict-Solapur North-Rural [D],SubDistrict-Solapur South-Total [(A+B) or (C+D)],SubDistrict-Solapur South-Public [A],SubDistrict-Solapur South-Private [B],SubDistrict-Solapur South-Urban [C],SubDistrict-Solapur South-Rural [D],SubDistrict-Solapur Urban-Total [(A+B) or (C+D)],SubDistrict-Solapur Urban-Public [A],SubDistrict-Solapur Urban-Private [B],SubDistrict-Solapur Urban-Urban [C],SubDistrict-Solapur Urban-Rural [D]
M6 [Post Natal Care (PNC)],6.3,Number of mothers provided full course of 180 IFA tablets after delivery,TOTAL,13768,11744,2024,2457,11311,669,669,NA,549,120,883,883,NA,571,312,276,276,NA,70,206,384,384,NA,57,327,620,620,NA,NA,620,606,606,NA,106,500,891,891,NA,NA,891,1331,1331,NA,387,944,1043,1043,NA,17,1026,5173,3149,2024,0,5173,1192,1192,NA,NA,1192,700,700,NA,700,NA
M6 [Post Natal Care (PNC)],6.4,Number of mothers provided 360 Calcium tablets after delivery,TOTAL,11178,9152,2026,1701,9477,510,510,NA,459,51,742,742,NA,571,171,164,164,NA,0,164,154,154,NA,57,97,556,556,NA,NA,556,435,435,NA,106,329,561,561,NA,NA,561,1297,1297,NA,355,942,628,628,NA,7,621,5093,3067,2026,NA,5093,892,892,NA,NA,892,146,146,NA,146,NA
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.1,New RTI/STI cases identified - Male,TOTAL,2037,1942,95,1144,893,67,67,NA,62,5,150,150,NA,51,99,14,14,NA,0,14,70,70,NA,0,70,73,73,NA,NA,73,968,968,NA,925,43,106,106,NA,NA,106,373,373,NA,98,275,51,51,NA,8,43,149,54,95,NA,149,16,16,NA,NA,16,0,0,NA,0,NA
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.2,New RTI/STI cases identified - Female,TOTAL,2228,2141,87,1119,1109,112,112,NA,48,64,236,236,NA,92,144,12,12,NA,0,12,74,74,NA,0,74,75,75,NA,NA,75,976,976,NA,896,80,125,125,NA,NA,125,355,355,NA,64,291,58,58,NA,19,39,122,35,87,NA,122,83,83,NA,NA,83,0,0,NA,0,NA
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.2.1,RTI/STI for which treatment initiated - Male,TOTAL,1117,1016,101,310,807,64,64,NA,62,2,94,94,NA,22,72,14,14,NA,0,14,52,52,NA,0,52,49,49,NA,NA,49,195,195,NA,120,75,108,108,NA,NA,108,354,354,NA,98,256,30,30,NA,8,22,153,52,101,NA,153,4,4,NA,NA,4,0,0,NA,0,NA
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.2.2,RTI/STI for which treatment initiated -Female,TOTAL,1290,1197,93,325,965,86,86,NA,48,38,131,131,NA,30,101,12,12,NA,0,12,43,43,NA,0,43,45,45,NA,NA,45,273,273,NA,167,106,127,127,NA,NA,127,331,331,NA,64,267,36,36,NA,16,20,126,33,93,NA,126,80,80,NA,NA,80,0,0,NA,0,NA
M8 [Family Planning],8.1.1,Number of Non Scalpel Vasectomy (NSV) / Conventional Vasectomy conducted,TOTAL,11,10,1,2,9,0,0,NA,0,0,3,3,NA,1,2,2,2,NA,0,2,0,0,NA,0,0,4,4,NA,NA,4,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,1,0,1,NA,1,0,0,NA,NA,0,1,1,NA,1,NA
M8 [Family Planning],8.2.1,Number of Laparoscopic sterilizations (excluding post abortion) conducted,TOTAL,5712,5063,649,1662,4050,0,0,NA,0,0,736,736,NA,558,178,658,658,NA,19,639,436,436,NA,4,432,78,78,NA,NA,78,214,214,NA,0,214,416,416,NA,NA,416,423,423,NA,5,418,645,645,NA,385,260,1004,355,649,NA,1004,411,411,NA,NA,411,691,691,NA,691,NA
M8 [Family Planning],8.2.2,Number of Interval Mini-lap (other than post-partum and post abortion) sterilizations conducted,TOTAL,7550,5307,2243,1042,6508,1365,1365,NA,0,1365,156,156,NA,0,156,71,71,NA,4,67,142,142,NA,34,108,572,572,NA,NA,572,319,319,NA,35,284,383,383,NA,NA,383,688,688,NA,313,375,165,165,NA,0,165,2380,137,2243,NA,2380,653,653,NA,NA,653,656,656,NA,656,NA
M8 [Family Planning],8.2.3,Number of Postpartum sterilizations (within 7 days of delivery by minilap or concurrent with caesarean section) conducted,TOTAL,1188,620,568,586,602,0,0,NA,0,0,19,19,NA,0,19,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,15,15,NA,0,15,568,0,568,NA,568,0,0,NA,NA,0,586,586,NA,586,NA
M8 [Family Planning],8.2.4,Number of Post Abortion sterilizations (within 7 days of spontaneous or surgical abortion) conducted,TOTAL,119,115,4,113,6,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,2,2,NA,0,2,0,0,NA,0,0,4,0,4,NA,4,0,0,NA,NA,0,113,113,NA,113,NA
M8 [Family Planning],8.3,Number of Interval IUCD Insertions (excluding PPIUCD and PAIUCD),TOTAL,9026,8786,240,1226,7800,1067,1067,NA,106,961,815,815,NA,15,800,828,828,NA,168,660,760,760,NA,12,748,1007,1007,NA,NA,1007,442,442,NA,7,435,537,537,NA,NA,537,992,992,NA,43,949,585,585,NA,41,544,572,332,240,NA,572,587,587,NA,NA,587,834,834,NA,834,NA
M8 [Family Planning],8.4,Number of Postpartum (within 48 hours of delivery) IUCD insertions,TOTAL,1584,1565,19,523,1061,135,135,NA,72,63,216,216,NA,36,180,172,172,NA,141,31,35,35,NA,2,33,177,177,NA,NA,177,143,143,NA,0,143,124,124,NA,NA,124,289,289,NA,234,55,131,131,NA,21,110,67,48,19,NA,67,78,78,NA,NA,78,17,17,NA,17,NA
M8 [Family Planning],8.5,Number of Post Abortion (within 12 days of spontaneous or surgical abortion) IUCD insertions,TOTAL,35,35,0,7,28,2,2,NA,0,2,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,8,8,NA,0,8,0,0,NA,NA,0,13,13,NA,3,10,6,6,NA,0,6,0,0,0,NA,0,2,2,NA,NA,2,4,4,NA,4,NA
M8 [Family Planning],8.6,Number of IUCD Removals,TOTAL,2309,2287,22,123,2186,81,81,NA,5,76,388,388,NA,22,366,127,127,NA,18,109,74,74,NA,2,72,590,590,NA,NA,590,64,64,NA,0,64,305,305,NA,NA,305,225,225,NA,5,220,53,53,NA,3,50,137,115,22,NA,137,197,197,NA,NA,197,68,68,NA,68,NA
M8 [Family Planning],8.7,Number of complications following IUCD Insertion,TOTAL,307,290,17,5,302,12,12,NA,0,12,31,31,NA,0,31,7,7,NA,0,7,30,30,NA,2,28,132,132,NA,NA,132,7,7,NA,0,7,11,11,NA,NA,11,4,4,NA,0,4,23,23,NA,0,23,19,2,17,NA,19,28,28,NA,NA,28,3,3,NA,3,NA
M8 [Family Planning],8.8,Injectable Contraceptive-Antara Program- First Dose,TOTAL,9,9,0,9,0,0,0,NA,0,0,9,9,NA,9,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M8 [Family Planning],8.9,Injectable Contraceptive-Antara Program- Second Dose,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M8 [Family Planning],8.1,Injectable Contraceptive-Antara Program- Third Dose,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M8 [Family Planning],8.11,Injectable Contraceptive-Antara Program- Fourth or more than fourth,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M8 [Family Planning],8.12,Number of Combined Oral Pill cycles distributed,TOTAL,96977,96958,19,26114,70863,6911,6911,NA,618,6293,7358,7358,NA,558,6800,5330,5330,NA,21,5309,7480,7480,NA,43,7437,11936,11936,NA,NA,11936,3801,3801,NA,0,3801,6766,6766,NA,NA,6766,8109,8109,NA,346,7763,6259,6259,NA,0,6259,2720,2701,19,NA,2720,5779,5779,NA,NA,5779,24528,24528,NA,24528,NA
M8 [Family Planning],8.13,Number of Condom pieces distributed,TOTAL,220844,220844,0,91289,129555,12948,12948,NA,4320,8628,10240,10240,NA,3408,6832,5574,5574,NA,2665,2909,11883,11883,NA,91,11792,42775,42775,NA,NA,42775,3085,3085,NA,0,3085,12805,12805,NA,NA,12805,29596,29596,NA,8710,20886,8271,8271,NA,3870,4401,6009,6009,0,NA,6009,9433,9433,NA,NA,9433,68225,68225,NA,68225,NA
M8 [Family Planning],8.14,Number of Centchroman (weekly) pill strips distributed,TOTAL,2782,2782,0,668,2114,87,87,NA,0,87,234,234,NA,0,234,36,36,NA,6,30,20,20,NA,20,0,63,63,NA,NA,63,43,43,NA,0,43,33,33,NA,NA,33,519,519,NA,0,519,678,678,NA,570,108,285,285,0,NA,285,712,712,NA,NA,712,72,72,NA,72,NA
M8 [Family Planning],8.15,Number of Emergency Contraceptive Pills (ECP) given,TOTAL,887,862,25,68,819,108,108,NA,0,108,57,57,NA,0,57,32,32,NA,32,0,13,13,NA,0,13,140,140,NA,NA,140,0,0,NA,0,0,68,68,NA,NA,68,132,132,NA,0,132,13,13,NA,0,13,47,22,25,NA,47,241,241,NA,NA,241,36,36,NA,36,NA
M8 [Family Planning],8.16,Number of Pregnancy Test Kits (PTK) used,TOTAL,24912,23870,1042,1021,23891,1211,1211,NA,88,1123,2739,2739,NA,331,2408,1958,1958,NA,144,1814,3223,3223,NA,0,3223,4410,4410,NA,NA,4410,1276,1276,NA,0,1276,2468,2468,NA,NA,2468,2129,2129,NA,0,2129,1916,1916,NA,347,1569,2112,1070,1042,NA,2112,1359,1359,NA,NA,1359,111,111,NA,111,NA
M8 [Family Planning],8.17.1,Complications following male sterilization,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M8 [Family Planning],8.17.2,Complications following female sterilization,TOTAL,1,1,0,0,1,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,1,1,NA,0,1,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M8 [Family Planning],8.17.3,Failures following male sterilization,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M8 [Family Planning],8.17.4,Failures following female sterilization,TOTAL,3,3,0,0,3,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,1,1,NA,0,1,0,0,NA,0,0,1,1,0,NA,1,1,1,NA,NA,1,0,0,NA,0,NA
M8 [Family Planning],8.17.5,Deaths following male sterilization,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M8 [Family Planning],8.17.6,Deaths following female sterilization,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M9 [CHILD IMMUNISATION],9.1.1,Child immunisation - Vitamin K1 (Birth Dose),TOTAL,9188,8490,698,3117,6071,1386,1386,NA,694,692,564,564,NA,345,219,349,349,NA,160,189,318,318,NA,19,299,659,659,NA,NA,659,559,559,NA,122,437,361,361,NA,NA,361,1203,1203,NA,806,397,473,473,NA,0,473,1721,1023,698,0,1721,624,624,NA,NA,624,971,971,NA,971,NA
M9 [CHILD IMMUNISATION],9.1.2,Child immunisation - BCG,TOTAL,51466,51466,0,14537,36929,5303,5303,NA,1424,3879,4408,4408,NA,1225,3183,2752,2752,NA,492,2260,3423,3423,NA,88,3335,4779,4779,NA,NA,4779,2608,2608,NA,377,2231,3209,3209,NA,NA,3209,5142,5142,NA,989,4153,3387,3387,NA,253,3134,3440,3440,0,3,3437,3329,3329,NA,NA,3329,9686,9686,NA,9686,NA
M9 [CHILD IMMUNISATION],9.1.3,Child immunisation - DPT1,TOTAL,208,208,0,18,190,0,0,NA,0,0,50,50,NA,0,50,8,8,NA,0,8,0,0,NA,0,0,32,32,NA,NA,32,12,12,NA,0,12,20,20,NA,NA,20,18,18,NA,0,18,0,0,NA,0,0,51,51,0,1,50,0,0,NA,NA,0,17,17,NA,17,NA
M9 [CHILD IMMUNISATION],9.1.4,Child immunisation - DPT2,TOTAL,34,34,0,6,28,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,1,1,NA,NA,1,2,2,NA,0,2,1,1,NA,NA,1,0,0,NA,0,0,0,0,NA,0,0,25,25,0,1,24,0,0,NA,NA,0,5,5,NA,5,NA
M9 [CHILD IMMUNISATION],9.1.5,Child immunisation - DPT3,TOTAL,170,123,47,27,143,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,18,18,NA,NA,18,14,14,NA,0,14,1,1,NA,NA,1,0,0,NA,0,0,0,0,NA,0,0,110,63,47,0,110,0,0,NA,NA,0,27,27,NA,27,NA
M9 [CHILD IMMUNISATION],9.1.6,Child immunisation - Pentavalent 1,TOTAL,54210,53867,343,16859,37351,4914,4914,NA,1214,3700,4613,4613,NA,1371,3242,2845,2845,NA,337,2508,3686,3686,NA,177,3509,5954,5954,NA,NA,5954,2506,2506,NA,251,2255,3272,3272,NA,NA,3272,5155,5155,NA,956,4199,3815,3815,NA,302,3513,1939,1596,343,2,1937,3262,3262,NA,NA,3262,12249,12249,NA,12249,NA
M9 [CHILD IMMUNISATION],9.1.7,Child immunisation - Pentavalent 2,TOTAL,52014,51701,313,15919,36095,4641,4641,NA,1122,3519,4325,4325,NA,1272,3053,2800,2800,NA,337,2463,3718,3718,NA,193,3525,5778,5778,NA,NA,5778,2369,2369,NA,224,2145,3126,3126,NA,NA,3126,5031,5031,NA,871,4160,3726,3726,NA,284,3442,1746,1433,313,14,1732,3152,3152,NA,NA,3152,11602,11602,NA,11602,NA
M9 [CHILD IMMUNISATION],9.1.8,Child immunisation - Pentavalent 3,TOTAL,52383,52069,314,15489,36894,4683,4683,NA,1114,3569,4428,4428,NA,1257,3171,2925,2925,NA,340,2585,3823,3823,NA,203,3620,5846,5846,NA,NA,5846,2272,2272,NA,216,2056,3216,3216,NA,NA,3216,5070,5070,NA,840,4230,3736,3736,NA,290,3446,1964,1650,314,8,1956,3199,3199,NA,NA,3199,11221,11221,NA,11221,NA
M9 [CHILD IMMUNISATION],9.1.9,Child immunisation - OPV 0 (Birth Dose),TOTAL,36843,36843,0,10460,26383,2678,2678,NA,789,1889,2844,2844,NA,387,2457,1969,1969,NA,435,1534,3275,3275,NA,58,3217,3174,3174,NA,NA,3174,1684,1684,NA,187,1497,2570,2570,NA,NA,2570,3251,3251,NA,806,2445,1782,1782,NA,107,1675,3073,3073,0,0,3073,2852,2852,NA,NA,2852,7691,7691,NA,7691,NA
M9 [CHILD IMMUNISATION],9.1.10,Child immunisation - OPV1,TOTAL,54086,53869,217,16895,37191,4914,4914,NA,1214,3700,4593,4593,NA,1371,3222,2863,2863,NA,337,2526,3686,3686,NA,177,3509,5878,5878,NA,NA,5878,2538,2538,NA,251,2287,3253,3253,NA,NA,3253,5152,5152,NA,956,4196,3813,3813,NA,302,3511,1804,1587,217,2,1802,3307,3307,NA,NA,3307,12285,12285,NA,12285,NA
M9 [CHILD IMMUNISATION],9.1.11,Child immunisation - OPV2,TOTAL,51834,51584,250,15910,35924,4641,4641,NA,1122,3519,4334,4334,NA,1272,3062,2808,2808,NA,337,2471,3718,3718,NA,193,3525,5692,5692,NA,NA,5692,2368,2368,NA,224,2144,3103,3103,NA,NA,3103,5020,5020,NA,871,4149,3711,3711,NA,284,3427,1679,1429,250,14,1665,3167,3167,NA,NA,3167,11593,11593,NA,11593,NA
M9 [CHILD IMMUNISATION],9.1.12,Child immunisation - OPV3,TOTAL,52057,51726,331,15466,36591,4683,4683,NA,1114,3569,4429,4429,NA,1257,3172,2919,2919,NA,340,2579,3823,3823,NA,203,3620,5696,5696,NA,NA,5696,2268,2268,NA,216,2052,3183,3183,NA,NA,3183,5027,5027,NA,840,4187,3724,3724,NA,290,3434,1955,1624,331,8,1947,3152,3152,NA,NA,3152,11198,11198,NA,11198,NA
M9 [CHILD IMMUNISATION],9.1.13,Child immunisation - Hepatitis-B0 (Birth Dose),TOTAL,13797,13698,99,6537,7260,1254,1254,NA,789,465,857,857,NA,387,470,575,575,NA,432,143,297,297,NA,58,239,1168,1168,NA,NA,1168,536,536,NA,192,344,626,626,NA,NA,626,1434,1434,NA,806,628,512,512,NA,100,412,1876,1777,99,0,1876,889,889,NA,NA,889,3773,3773,NA,3773,NA
M9 [CHILD IMMUNISATION],9.1.14,Child immunisation - Hepatitis-B1,TOTAL,33,33,0,8,25,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,25,25,NA,NA,25,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,8,8,NA,8,NA
M9 [CHILD IMMUNISATION],9.1.15,Child immunisation - Hepatitis-B2,TOTAL,46,29,17,2,44,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,27,27,NA,NA,27,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,17,0,17,0,17,0,0,NA,NA,0,2,2,NA,2,NA
M9 [CHILD IMMUNISATION],9.1.16,Child immunisation - Hepatitis-B3,TOTAL,40,36,4,1,39,0,0,NA,0,0,10,10,NA,0,10,0,0,NA,0,0,0,0,NA,0,0,25,25,NA,NA,25,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,4,0,4,0,4,0,0,NA,NA,0,1,1,NA,1,NA
M9 [CHILD IMMUNISATION],9.1.17,Child immunisation - Inactivated Polio Vaccine 1 (IPV 1),TOTAL,13128,13078,50,9293,3835,325,325,NA,32,293,926,926,NA,409,517,494,494,NA,229,265,483,483,NA,0,483,272,272,NA,NA,272,428,428,NA,246,182,209,209,NA,NA,209,1202,1202,NA,789,413,263,263,NA,186,77,593,543,50,0,593,531,531,NA,NA,531,7402,7402,NA,7402,NA
M9 [CHILD IMMUNISATION],9.1.18,Child immunisation - Inactivated Polio Vaccine 2 (IPV 2),TOTAL,9006,8956,50,6393,2613,279,279,NA,18,261,517,517,NA,330,187,374,374,NA,141,233,419,419,NA,0,419,164,164,NA,NA,164,385,385,NA,227,158,75,75,NA,NA,75,1061,1061,NA,700,361,136,136,NA,102,34,285,235,50,0,285,436,436,NA,NA,436,4875,4875,NA,4875,NA
M9 [CHILD IMMUNISATION],9.1.19,Child immunisation - Rotavirus 1,TOTAL,48,0,48,0,48,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,48,0,48,0,48,0,0,NA,NA,0,0,0,NA,0,NA
M9 [CHILD IMMUNISATION],9.1.20,Child immunisation - Rotavirus 2,TOTAL,50,0,50,0,50,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,50,0,50,0,50,0,0,NA,NA,0,0,0,NA,0,NA
M9 [CHILD IMMUNISATION],9.1.21,Child immunisation - Rotavirus 3,TOTAL,29,0,29,0,29,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,29,0,29,0,29,0,0,NA,NA,0,0,0,NA,0,NA
M9 [CHILD IMMUNISATION],9.2.1,Child immunisation (9-11months) - Measles & Rubella (MR)- 1st Dose,TOTAL,268,253,15,69,199,0,0,NA,0,0,32,32,NA,0,32,42,42,NA,0,42,0,0,NA,0,0,33,33,NA,NA,33,3,3,NA,0,3,4,4,NA,NA,4,0,0,NA,0,0,70,70,NA,0,70,15,0,15,0,15,0,0,NA,NA,0,69,69,NA,69,NA
M9 [CHILD IMMUNISATION],9.2.2,Child immunisation (9-11months) - Measles 1st dose,TOTAL,53126,51978,1148,15091,38035,4153,4153,NA,554,3599,4606,4606,NA,1434,3172,2864,2864,NA,308,2556,3910,3910,NA,199,3711,5812,5812,NA,NA,5812,2385,2385,NA,248,2137,3416,3416,NA,NA,3416,5226,5226,NA,884,4342,3604,3604,NA,267,3337,2699,1551,1148,29,2670,3283,3283,NA,NA,3283,11168,11168,NA,11168,NA
M9 [CHILD IMMUNISATION],9.2.3,Child immunisation (9-11months) - JE 1st dose,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA
M9 [CHILD IMMUNISATION],9.2.4.a,Children aged between 9 and 11 months fully immunized- Male,TOTAL,27664,27083,581,7535,20129,2149,2149,NA,286,1863,2426,2426,NA,744,1682,1540,1540,NA,157,1383,2089,2089,NA,97,1992,3099,3099,NA,NA,3099,1258,1258,NA,136,1122,1857,1857,NA,NA,1857,2808,2808,NA,489,2319,1889,1889,NA,145,1744,1382,801,581,4,1378,1690,1690,NA,NA,1690,5477,5477,NA,5477,NA
M9 [CHILD IMMUNISATION],9.2.4.b,Children aged between 9 and 11 months fully immunized - Female,TOTAL,24888,24321,567,6987,17901,2004,2004,NA,268,1736,2115,2115,NA,690,1425,1310,1310,NA,151,1159,1821,1821,NA,102,1719,2793,2793,NA,NA,2793,1122,1122,NA,112,1010,1589,1589,NA,NA,1589,2423,2423,NA,395,2028,1714,1714,NA,122,1592,1295,728,567,4,1291,1559,1559,NA,NA,1559,5143,5143,NA,5143,NA
M9 [CHILD IMMUNISATION],9.3.1,Child immunisation - Measles & Rubella (MR)- 1st Dose,TOTAL,32,32,0,0,32,0,0,NA,0,0,0,0,NA,0,0,20,20,NA,0,20,0,0,NA,0,0,5,5,NA,NA,5,7,7,NA,0,7,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA
M9 [CHILD IMMUNISATION],9.3.2,Child immunisation - Measles-1st dose,TOTAL,6232,6232,0,2053,4179,130,130,NA,30,100,337,337,NA,0,337,269,269,NA,0,269,80,80,NA,0,80,787,787,NA,NA,787,379,379,NA,75,304,463,463,NA,NA,463,1320,1320,NA,684,636,474,474,NA,111,363,98,98,0,8,90,750,750,NA,NA,750,1145,1145,NA,1145,NA
M9 [CHILD IMMUNISATION],9.3.3,Child immunisation - JE 1st dose,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA
M9 [CHILD IMMUNISATION],9.4.1,Child immunisation - Measles & Rubella (MR)- 2nd Dose (16-24 months),TOTAL,277,235,42,37,240,20,20,NA,0,20,11,11,NA,0,11,66,66,NA,0,66,0,0,NA,0,0,6,6,NA,NA,6,0,0,NA,0,0,31,31,NA,NA,31,43,43,NA,0,43,11,11,NA,0,11,42,0,42,0,42,10,10,NA,NA,10,37,37,NA,37,NA
